제작사,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
혼다코리아(주),ODYSSEY,2006-07-18,2009-09-08,2013-11-20,"차량안정보조장치(VSA) 이상으로 제동을 하지 않아도 제동이 되며, 이경우 브레이크 등이 점등되지 않을 가능성이 있어 안전운행에 지장"
볼보자동차코리아(주),"S80,XC70,XC60",2010-05-11,2010-10-18,2013-12-24,"엔진벨트(파워핸들, 발전기 벨트)의 장력을 조절하는 장치(텐셔너)의 고정부싱이 조기마모 되어 소음 및 엔진벨트가 이탈 되어 안전운행에 지장"
볼보자동차코리아(주),S60,2010-06-22,2011-05-14,2013-12-24,계기판 제어 소프트웨어 결함”으로 엔진오일 압력 경고등이 점등되지 않아 안전기준 부적합
만트럭버스,TGX,2012-12-03,2013-02-05,2013-12-11,로커암 커버(흡기쪽)가 엔진헤드와 충분히 밀착되지 않아 엔진오일이 누유되어 화재의 가능성이 있어 안전운행에 지장
비엠더블유코리아(주)-이륜,BMW C600 SPORT,2012-03-23,2012-03-23,2013-02-08,"주행성능을 향상시키기 위해서 설치된 핸들 좌/우 판넬(전방 커버)이 규정된 힘보다 약하게 고정되어, 판넬이 탈락될 수 있어 안전운행에 지장"
비엠더블유코리아(주)-이륜,BMW R1200GS,2012-11-15,2013-02-05,2013-03-15,뒷바퀴 미끄러짐 방지 시스템(anti slip control)이 작동되지 않아 운행 중 미끄러질 가능성이 있어 안전운행 지장
비엠더블유코리아(주)-이륜,BMW R1200GS,2012-11-22,2012-12-20,2013-03-15,"변속기 내 높은 오일 압력으로 변속기 출력부에서 오일이 누유 될 수 있고, 누유 된 오일로 인해 미끄러질 가능성이 있어 안전운행에 지장"
비엠더블유코리아(주)-이륜,BMW S1000RR,2011-10-31,2012-11-30,2013-03-22,주차 시 이륜자동차를 세워놓는 스탠드의 고정? 볼트가 풀려 넘어질 수 있어 안전운행에 지장
비엠더블유코리아(주)-이륜,"BMW K1300S,BMW K1300R",2011-11-22,2012-10-31,2013-03-22,브레이크 오일탱크 내 오일에 기포가 발생하여(베어퍼록) 제동 시 유압전달이 적게 되어 제동 길이가 길어져 안전운행에 지장
비엠더블유코리아(주)-이륜,BMW R1200GS,2012-11-15,2013-02-19,2013-07-19,핸들바에 연결된 앞 서스펜션 체결이 풀어져 조향이 되지 않아 안전운행에 지장
비엠더블유코리아(주)-이륜,BMW C650GT,2012-03-01,2013-05-21,2013-08-30,주차 시 이륜자동차를 세워놓는 스탠드의 고정? 볼트가 풀려 넘어질 수 있어 안전운행에 지장
비엠더블유코리아(주)-이륜,"BMW F700GS,BMW F800GS",2012-06-01,2012-10-17,2013-10-18,사이드 스탠드 스위치의 고정장치가 느슨해 질 수 있고 이 경우 시동을 꺼는 장치가 정상 작동되지 않을 수 있어 안전운행에 지장
비엠더블유코리아(주)-이륜,"BMW K 1600GT,BMW K 1600 GTL",2011-03-07,2012-03-07,2013-12-06,엔진에 공급되는 공기량을 제어하는 프로그램 결함으로 주행 중 시동이 꺼져 안전운행에 지장
(주)스포츠모터사이클코리아,250 EXC-F,2008-03-12,2008-09-12,2013-03-27,프론트 포크 부분의 내부 튜브의 파손으로 쇽업쇼버내의 압력저하로 주행 안전성이 저하되어 안전운행에 지장
(주)스포츠모터사이클코리아,2 행정 오프로드 모델,2012-06-01,2012-11-01,2013-05-29,스로틀 그립 불량으로 스로틀을 당겼다 놓으면 제자리로 돌아와 속도가 낮아져야 하나 되돌아 오지 않아 속도가 줄어들지 않을 가능성이 있어 안전운행에 지장
혼다코리아(주)-이륜,SUPER CUB,2013-05-21,2013-07-22,2013-10-10,연료펌프 내 브라킷 재질불량으로 부풀어 올라 펌프 내 임펠러와 간섭이 발생할 수 있고 이경우 임펠러가 작동되지 않아 연료가 공급되지 않을 가능성이 있어 안전운행 지장  
스즈키씨엠씨,GSX1300RAL3,2013-03-22,2013-03-22,2013-09-13,ABS 조립과정에서 유닛에 이물질이 혼입되어 ABS기능이 작동되지 않을 수 있어 안전운행에 지장
대전기계공업(주),가와사키 닌자300,2013-03-15,2013-03-15,2013-09-24,엔진 제어프로그램 결함으로 엔진 실화가 발생하여 주행 중 엔진이 꺼지는 현상이 발생하여 안전운행에 지장
(유)기흥모터스,"일렉트라 글라이드,울트라 클래식스트리트 글라이드,울트라 리미티드CVO,로드킹CVO 리미티드",2013-05-03,2013-10-14,2013-12-09,유압식 클러치의 압력이 낮게 형성되어 기어변속이 어렵거나 변속이 되지 않아 안전운행에 지장
(유)기흥모터스,"소프테일 디럭스 CVO,소프트테일 브레이크아웃 CVO",2013-05-03,2013-10-14,2013-12-09,변속기 클러치 압력 생성이 부적정하여 동력전달이 차단되지 않아 감속 또는 정차가 되지않아 안전운행에 지장
